pnr_id,passenger_id,flight_id,seat_class,ancillary_fee_paid
PNR000000,P000000,FL07930,BUSINESS,8
PNR000001,P000001,FL02615,BUSINESS,107
PNR000002,P000002,FL06853,ECONOMY,65
PNR000003,P000003,FL00284,BUSINESS,56
PNR000004,P000004,FL00647,ECONOMY,92
PNR000005,P000005,FL01314,BUSINESS,68
PNR000006,P000006,FL04527,BUSINESS,142
PNR000007,P000007,FL01741,BUSINESS,55
PNR000008,P000008,FL06032,BUSINESS,107
PNR000009,P000009,FL04108,BUSINESS,79
PNR000010,P000010,FL00043,BUSINESS,144
PNR000011,P000011,FL01129,ECONOMY,27
PNR000012,P000012,FL08191,FIRST,137
PNR000013,P000013,FL03229,ECONOMY,58
PNR000014,P000014,FL07225,FIRST,135
PNR000015,P000015,FL01237,BUSINESS,82
PNR000016,P000016,FL06592,BUSINESS,28
PNR000017,P000017,FL07846,ECONOMY,82
PNR000018,P000018,FL07866,FIRST,68
PNR000019,P000019,FL01634,FIRST,65
PNR000020,P000020,FL00709,BUSINESS,127
PNR000021,P000021,FL05214,FIRST,66
PNR000022,P000022,FL02065,BUSINESS,110
PNR000023,P000023,FL09463,ECONOMY,115
PNR000024,P000024,FL09316,ECONOMY,61
PNR000025,P000025,FL05071,BUSINESS,27
PNR000026,P000026,FL04405,ECONOMY,100
PNR000027,P000027,FL09393,BUSINESS,86
PNR000028,P000028,FL08661,FIRST,87
PNR000029,P000029,FL01686,BUSINESS,72
PNR000030,P000030,FL03113,FIRST,135
PNR000031,P000031,FL02960,FIRST,108
PNR000032,P000032,FL08081,FIRST,141
PNR000033,P000033,FL09628,ECONOMY,109
PNR000034,P000034,FL07282,ECONOMY,74
PNR000035,P000035,FL01777,FIRST,56
PNR000036,P000036,FL07148,ECONOMY,138
PNR000037,P000037,FL02192,BUSINESS,55
PNR000038,P000038,FL01333,FIRST,89
PNR000039,P000039,FL03276,ECONOMY,114
PNR000040,P000040,FL03506,BUSINESS,18
PNR000041,P000041,FL03299,FIRST,143
PNR000042,P000042,FL04115,ECONOMY,70
PNR000043,P000043,FL05004,BUSINESS,139
PNR000044,P000044,FL08385,ECONOMY,22
PNR000045,P000045,FL03232,FIRST,59
PNR000046,P000046,FL05059,ECONOMY,95
PNR000047,P000047,FL02365,BUSINESS,71
PNR000048,P000048,FL05655,BUSINESS,112
PNR000049,P000049,FL01941,ECONOMY,45
PNR000050,P000050,FL05278,ECONOMY,118
PNR000051,P000051,FL08988,ECONOMY,101
PNR000052,P000052,FL08624,ECONOMY,56
PNR000053,P000053,FL01951,FIRST,70
PNR000054,P000054,FL03817,BUSINESS,48
PNR000055,P000055,FL05215,FIRST,103
PNR000056,P000056,FL05185,FIRST,23
PNR000057,P000057,FL05397,FIRST,142
PNR000058,P000058,FL00470,ECONOMY,123
PNR000059,P000059,FL02232,FIRST,144
PNR000060,P000060,FL09590,BUSINESS,59
PNR000061,P000061,FL07523,FIRST,90
PNR000062,P000062,FL07985,FIRST,37
PNR000063,P000063,FL04231,BUSINESS,14
PNR000064,P000064,FL08183,BUSINESS,117
PNR000065,P000065,FL07206,FIRST,5
PNR000066,P000066,FL00048,BUSINESS,22
PNR000067,P000067,FL00304,ECONOMY,137
PNR000068,P000068,FL08369,FIRST,133
PNR000069,P000069,FL09541,BUSINESS,140
PNR000070,P000070,FL06766,FIRST,112
PNR000071,P000071,FL08437,BUSINESS,26
PNR000072,P000072,FL05094,BUSINESS,84
PNR000073,P000073,FL08610,BUSINESS,137
PNR000074,P000074,FL06795,ECONOMY,148
PNR000075,P000075,FL00184,FIRST,130
PNR000076,P000076,FL07426,BUSINESS,116
PNR000077,P000077,FL05054,FIRST,148
PNR000078,P000078,FL05099,FIRST,107
PNR000079,P000079,FL07325,BUSINESS,131
PNR000080,P000080,FL03115,ECONOMY,43
