flight_id,total_seats,available_seats
FL00000,171,171
FL00001,212,212
FL00002,134,134
FL00003,191,191
FL00004,180,180
FL00005,140,140
FL00006,202,202
FL00007,206,206
FL00008,194,194
FL00009,194,194
FL00010,207,207
FL00011,219,219
FL00012,143,143
FL00013,122,122
FL00014,141,141
FL00015,172,172
FL00016,121,121
FL00017,207,207
FL00018,149,149
FL00019,157,157
FL00020,121,121
FL00021,183,183
FL00022,179,179
FL00023,140,140
FL00024,152,152
FL00025,195,195
FL00026,177,177
FL00027,141,141
FL00028,208,208
FL00029,168,168
FL00030,210,210
FL00031,178,178
FL00032,161,161
FL00033,211,211
FL00034,179,179
FL00035,199,199
FL00036,134,134
FL00037,181,181
FL00038,181,181
FL00039,166,166
FL00040,181,181
FL00041,170,170
FL00042,174,174
FL00043,183,183
FL00044,122,122
FL00045,170,170
FL00046,126,126
FL00047,140,140
FL00048,192,192
FL00049,158,158
FL00050,137,137
FL00051,123,123
FL00052,208,208
FL00053,179,179
FL00054,133,133
FL00055,128,128
FL00056,209,209
FL00057,172,172
FL00058,121,121
FL00059,203,203
FL00060,211,211
FL00061,179,179
FL00062,190,190
FL00063,163,163
FL00064,127,127
FL00065,166,166
FL00066,154,154
FL00067,197,197
FL00068,200,200
FL00069,155,155
FL00070,169,169
FL00071,123,123
FL00072,121,121
FL00073,125,125
FL00074,173,173
FL00075,123,123
FL00076,173,173
FL00077,212,212
FL00078,182,182
FL00079,137,137
FL00080,209,209
FL00081,163,163
FL00082,153,153
FL00083,193,193
FL00084,181,181
FL00085,219,219
FL00086,133,133
FL00087,214,214
FL00088,167,167
FL00089,134,134
FL00090,191,191
FL00091,197,197
FL00092,206,206
FL00093,181,181
FL00094,159,159
FL00095,204,204
FL00096,199,199
FL00097,201,201
FL00098,172,172
FL00099,143,143
FL00100,145,145
FL00101,208,208
FL00102,179,179
FL00103,160,160
FL00104,148,148
FL00105,134,134
FL00106,164,164
FL00107,184,184
FL00108,208,208
FL00109,190,190
FL00110,128,128
FL00111,207,207
FL00112,120,120
FL00113,127,127
FL00114,207,207
FL00115,182,182
FL00116,130,130
FL00117,200,200
FL00118,127,127
FL00119,154,154
FL00120,154,154
FL00121,152,152
FL00122,124,124
FL00123,160,160
FL00124,147,147
FL00125,126,126
FL00126,192,192
FL00127,191,191
FL00128,131,131
FL00129,153,153
FL00130,152,152
FL00131,167,167
FL00132,142,142
FL00133,181,181
FL00134,207,207
FL00135,156,156
FL00136,218,218
FL00137,163,163
FL00138,205,205
FL00139,210,210
FL00140,154,154
FL00141,184,184
FL00142,218,218
FL00143,166,166
FL00144,197,197
FL00145,122,122
FL00146,120,120
FL00147,124,124
FL00148,209,209
FL00149,133,133
FL00150,146,146
FL00151,128,128
FL00152,198,198
FL00153,134,134
FL00154,209,209
FL00155,161,161
FL00156,196,196
FL00157,170,170
FL00158,182,182
FL00159,215,215
FL00160,171,171
FL00161,215,215
FL00162,123,123
FL00163,213,213
FL00164,142,142
FL00165,134,134
FL00166,162,162
FL00167,148,148
FL00168,155,155
FL00169,132,132
FL00170,151,151
FL00171,190,190
FL00172,178,178
FL00173,205,205
FL00174,147,147
FL00175,185,185
FL00176,161,161
FL00177,164,164
FL00178,181,181
FL00179,176,176
FL00180,125,125
FL00181,147,147
FL00182,147,147
FL00183,163,163
FL00184,203,203
FL00185,149,149
FL00186,181,181
FL00187,194,194
FL00188,211,211
FL00189,208,208
FL00190,181,181
FL00191,216,216
FL00192,120,120
FL00193,146,146
FL00194,181,181
FL00195,196,196
FL00196,122,122
FL00197,189,189
FL00198,191,191
FL00199,146,146
FL00200,128,128
FL00201,181,181
FL00202,156,156
FL00203,216,216
FL00204,170,170
FL00205,163,163
FL00206,143,143
FL00207,198,198
FL00208,178,178
FL00209,151,151
FL00210,215,215
FL00211,207,207
FL00212,171,171
FL00213,181,181
FL00214,177,177
FL00215,171,171
FL00216,131,131
FL00217,158,158
FL00218,121,121
FL00219,122,122
FL00220,175,175
FL00221,200,200
FL00222,178,178
FL00223,121,121
FL00224,121,121
FL00225,211,211
FL00226,173,173
FL00227,206,206
FL00228,215,215
FL00229,216,216
FL00230,120,120
FL00231,138,138
FL00232,121,121
FL00233,172,172
FL00234,163,163
FL00235,209,209
FL00236,151,151
FL00237,189,189
FL00238,151,151
FL00239,187,187
FL00240,174,174
FL00241,194,194
FL00242,175,175
FL00243,136,136
FL00244,157,157
FL00245,143,143
FL00246,188,188
FL00247,217,217
FL00248,189,189
FL00249,205,205
FL00250,130,130
FL00251,135,135
FL00252,216,216
FL00253,192,192
FL00254,178,178
FL00255,189,189
FL00256,199,199
FL00257,212,212
FL00258,122,122
FL00259,139,139
FL00260,178,178
FL00261,155,155
FL00262,138,138
FL00263,209,209
FL00264,186,186
FL00265,138,138
FL00266,139,139
FL00267,215,215
FL00268,190,190
FL00269,171,171
FL00270,152,152
FL00271,159,159
FL00272,158,158
FL00273,201,201
FL00274,120,120
FL00275,130,130
FL00276,211,211
FL00277,176,176
FL00278,208,208
FL00279,169,169
